mean_lon,mean_lat,std_lon,std_lat,mean_velocity,std_velocity,max_velocity,mean_acceleration,std_acceleration,max_acceleration,traj_length,traj_duration,lon_range,lat_range,hurricane_category
-79.85714285714286,30.092857142857145,0.811272620828611,1.4800889383094933,2.5910793246013262e-05,8.204879327758851e-06,4.1408666249996e-05,2.214831339410234e-10,1.612664370327217e-10,5.464484218099342e-10,14.0,280800.0,2.4000000000000057,5.0,2
-96.67272727272729,26.44545454545454,3.4483437154908567,0.6485839629722533,4.989800214155488e-05,2.176818330222206e-05,7.479395565464589e-05,2.765605282397782e-10,2.1248337803132292e-10,5.990837131075795e-10,11.0,216000.0,10.5,2.0,1
-72.72399999999999,34.48,10.108937827487118,4.540748836921065,8.575264404342488e-05,4.813398103311885e-05,0.0001644170449729608,5.562754098427763e-10,4.964168983851123e-10,2.017053564891841e-09,25.0,496800.0,33.5,13.800000000000004,3
-95.44545454545455,29.136363636363637,0.9623490543868906,0.6314092856067398,2.2011982004297465e-05,3.836790491648692e-06,2.637038192999231e-05,2.029569041669746e-10,2.0476470628183723e-10,5.918510490176614e-10,11.0,194400.0,3.0,2.1000000000000014,2
-65.3,29.841666666666665,2.867635495200414,3.002626165357401,6.111932595564368e-05,2.1819829272024248e-05,9.888893223747133e-05,4.42294897553406e-10,2.7644602627598615e-10,8.837246282616697e-10,12.0,237600.0,8.899999999999991,9.200000000000003,0
-33.75,49.0,6.053580207888001,3.415650255319866,0.00018867641141762082,2.1414028046042704e-05,0.00021745710912101778,6.251428898033837e-10,2.9619491511947364e-10,1.0716735253772289e-09,6.0,108000.0,18.0,10.0,2
-64.4125,15.45,5.275873742803176,2.783433131943356,6.0667696790167523e-05,8.303512093679124e-06,8.180831966237148e-05,3.309912498776604e-10,1.4582288793326706e-10,6.540721244713241e-10,16.0,324000.0,17.699999999999996,7.699999999999999,0
-89.18181818181817,29.38181818181818,0.35114923483323757,1.936171565378056,3.384424701818295e-05,1.0329228957032655e-05,4.986263710309723e-05,2.466223280072031e-10,9.183954228140393e-11,3.863973846304839e-10,11.0,194400.0,1.2000000000000028,6.300000000000001,3
-89.53571428571426,28.614285714285717,2.5886033583650416,1.9493065224246666,3.9804340822395676e-05,2.0661946048249062e-05,6.936724103598014e-05,3.05463400193973e-10,1.7305799685185523e-10,6.777858496588545e-10,14.0,280800.0,8.0,6.300000000000001,4
-60.8875,12.1,3.2316549552821994,0.0,6.22106481481481e-05,7.715446542808714e-06,7.638888888888882e-05,2.6122042181070184e-10,1.1187798118469403e-10,4.822530864197522e-10,8.0,151200.0,9.499999999999993,0.0,1
-73.94166666666666,37.34166666666667,2.9691352089268164,2.7953706770698985,6.895502035154302e-05,1.8897044148712215e-05,0.00010508851354459415,6.900603218867417e-10,4.0058323693186803e-10,1.4260154593125404e-09,12.0,216000.0,9.5,8.5,0
-77.1825,28.005000000000003,9.108097702045143,6.354366608876136,7.012331830424552e-05,3.9404076198854664e-05,0.00014673077770130085,3.468273197065234e-10,2.5616729158143474e-10,1.084986750434923e-09,40.0,842400.0,35.10000000000001,18.5,3
-51.48,35.425,1.501199520383617,1.4600941750448841,1.56784912038375e-05,1.3767798780331217e-05,4.816817603399272e-05,1.9944864171439059e-10,1.844189405516118e-10,6.109479086822421e-10,20.0,410400.0,4.200000000000003,4.5,1
-70.61250000000001,35.175,2.8148878752092417,0.621992765231236,5.8626414703163646e-05,6.5217694502238555e-06,6.812008782204718e-05,2.4774840049900927e-10,1.1978690813588125e-10,4.5467257020739777e-10,8.0,151200.0,8.5,2.0,0
